id;x_test;y_test;y_pred;explanations;meaningfulness;acceptability;faithfulness;explanation_accuracy_scores;explanation_accuracy_decisions;okd;similarity_threshold;adherence_to_knowledge_limits
35;stream list should show undeployed rather than blank if a stream is not deployed;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Stream list should show undeployed rather than blank if a stream is not deployed was most similar to the text Server transport option transport and similar to the text Provide python module handle io implementing python shell processor and similar to the text Port throughput modules migrate throughput scs (and these texts are not user stories).;0.03;4.94;1.0;8.33;1;1;1;1
36;Fix error handling in jdbchdfs job The jdbchdfs job keeps the output stream open in case of error writing to HDFS. We should improve this and close it plus throw an exception. We should also make sure the step is marked as failed instead of complete when an exception is thrown in the writer.;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Fix error handling in jdbchdfs job the jdbchdfs job keeps the output stream open in case of error writing to hdfs we should improve this and close it plus throw an exception we should also make sure the step is marked as failed instead of complete when an exception is thrown in the writer was most similar to the text Improve use current job does take advantage features available write hdfs spring implementations partitioning update job use similar hdfs sink inside new implementation and similar to the text Fix tangle container event references referenced stopped and similar to the text Create batch job uses shell copy multiple files hdfs local directory inverse require custom inputoutput (and these texts are not user stories).;0.01;2.0;1.0;1.67;0;1;1;1
37;Module Launcher properties improvments Improve Spring Cloud Stream module launcher/resolver properties: 1) Support comma separated remoteRepositories 2) Classify/group the properties;0;3;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text Module launcher properties improvments improve spring cloud stream module launcher/resolver properties: 1) support comma separated remoterepositories 2) classify/group the properties is a user story, and is worth 3 story points. This was predicted because it is most similar to the text Developer id like create new use measure highly serialized payload measure performance differences and similar to the text User id like option track history get visibility stream name module name etc added part message header and similar to the text Performance tester id like rerun baseline benchmarks compression rabbit compare results performance snapshots (and these texts are all user stories with a worth of 3 story points).;0.02;3.01;1.0;1.67;0;0;1;0
38;Support oracle jdbc configuration for XD batch job repository Currently hsqldb postgres and mysql job repositories are supported. We need to add configurable oracle jdbc settings.;0;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text Support oracle jdbc configuration for xd batch job repository currently hsqldb postgres and mysql job repositories are supported we need to add configurable oracle jdbc settings is a user story, and is worth 8 story points. This was predicted because it is most similar to the text User want configure docker containers using service discovery tools manage processes services cluster find talk one another and similar to the text Scd developer id like add support different binder types modules channels plug rabbit kafka source sink read write respectively and similar to the text User id like use expressions inline stream definition level operate payload consistently using any custom modules (and these texts are all user stories with a worth of 8 story points).;0.1;2.06;1.0;1.67;0;0;1;0
39;As a user I'd like to have a Redis based _aggregation_ over field-value counters so that I can continuously write the aggregation in Redis as we ingest more data. *Scope:* * Port specs from [previous implementation|https://github.com/spring-projects/spring-xd/wiki/OLD---Aggregate-Field-Value-Counters]. * Identify gaps * Update reference documentation;3;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text As a user i'd like to have a redis based _aggregation_ over field-value counters so that i can continuously write the aggregation in redis as we ingest more data *scope:* * port specs from [previous implementation|https://githubcom/spring-projects/spring-xd/wiki/old---aggregate-field-value-counters] * identify gaps * update reference documentation is a user story, and is worth 8 story points. This was predicted because it is most similar to the text User id like rest api point push archive includes custom module definitions configurations manually move set scope spike assess customer requirement brainstorm document options socialize team collect feedback identify phases create new stories and similar to the text Developer id like build data pipeline using kafka message demonstrate capabilities use case consider log aggregation lambda architecture avoid code duplication eliminate tight coupling logic kafka used reliable reprocessing and similar to the text User id like option define access control list acls define access controls resource user privileges resource spike scope review customer use cases come design specs identify best approach fits identify scope dsl ui document next steps phases (and these texts are all user stories with a worth of 8 story points).;0.03;2.0;1.0;1.67;0;1;1;1
40;twittersearch stream returns duplicate tweets The twittersearch source module picks up the same tweet in successive iterations of the REST request. The reason for this is that the since_id value being set at the end of each iteration is the last item in the list of tweets but not the latest value of tweet id. Steps to reproduce: Created a stream using below definition stream create --name twittersearchspring --definition twittersearch --consumerKey=<key> --consumerSecret=<secret> --query='spring' | tweet-transformer | file --deploy tweet-transformer referred here is used from the spring-xd-samples repo and is logging the tweet ID being transformed https://github.com/spring-projects/spring-xd-samples/tree/master/tweet-transformer-processor Below is the log __________ 2015-04-14 15:47:22154 1.1.0.RELEASE INFO DeploymentSupervisor-0 server.StreamDeploymentListener - Deployment status for stream 'twittersearchspring': DeploymentStatus{state=deployed} 2015-04-14 15:47:22158 1.1.0.RELEASE INFO DeploymentSupervisor-0 server.StreamDeploymentListener - Stream Stream{name='twittersearchspring'} deployment attempt complete 2015-04-14 15:47:24301 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884756488032256 2015-04-14 15:47:24312 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884752591544320 2015-04-14 15:47:24315 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884752536911873 2015-04-14 15:47:24318 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884751219986432 2015-04-14 15:47:24320 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884750620258305 2015-04-14 15:47:24325 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884749974147072 2015-04-14 15:47:24340 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884743338917888 2015-04-14 15:47:24342 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884741493272577 2015-04-14 15:47:24343 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884739387719680 2015-04-14 15:47:24344 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884737307549696 2015-04-14 15:47:24346 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884734723702784 2015-04-14 15:47:24348 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884730059771905 2015-04-14 15:47:24356 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884729225125888 2015-04-14 15:47:24358 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884725802405888 2015-04-14 15:47:24359 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884724938481665 2015-04-14 15:47:26465 1.1.0.RELEASE DEBUG twitterSource-1-1 twitter.TwitterSearchChannelAdapter - Search uri:https://api.twitter.com/1.1/search/tweets.json?q=spring&since_id=587884724938481665 2015-04-14 15:47:26865 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884766608916481 2015-04-14 15:47:26867 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884766072025089 2015-04-14 15:47:26869 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884765707116544 2015-04-14 15:47:26871 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884764394299392 2015-04-14 15:47:26872 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884761366003712 2015-04-14 15:47:26878 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884759381966849 2015-04-14 15:47:26880 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884756488032256 2015-04-14 15:47:26882 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884752591544320 2015-04-14 15:47:26884 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884752536911873 2015-04-14 15:47:26886 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884751219986432 2015-04-14 15:47:26887 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884750620258305 2015-04-14 15:47:26889 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884749974147072 2015-04-14 15:47:26890 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884743338917888 2015-04-14 15:47:26900 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884741493272577 2015-04-14 15:47:26903 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884739387719680 2015-04-14 15:47:29004 1.1.0.RELEASE DEBUG twitterSource-1-1 twitter.TwitterSearchChannelAdapter - Search uri:https://api.twitter.com/1.1/search/tweets.json?q=spring&since_id=587884739387719680 2015-04-14 15:47:29369 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884782945611776 2015-04-14 15:47:29371 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884781305663488 2015-04-14 15:47:29374 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884779506311169 2015-04-14 15:47:29376 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884775895072768 2015-04-14 15:47:29377 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884771893739520 2015-04-14 15:47:29379 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884771717578753 2015-04-14 15:47:29384 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884769138081792 2015-04-14 15:47:29386 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884766608916481 2015-04-14 15:47:29388 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884766072025089 2015-04-14 15:47:29389 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884765707116544 2015-04-14 15:47:29390 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884764394299392 2015-04-14 15:47:29391 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884761366003712 2015-04-14 15:47:29395 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884759381966849 2015-04-14 15:47:29399 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884756488032256 2015-04-14 15:47:29401 1.1.0.RELEASE INFO twitterSource-1-1 transformer.TweetTransformer - Transforming tweet with id : 587884752591544320 2015-04-14 15:47:31502 1.1.0.RELEASE DEBUG twitterSource-1-1 twitter.TwitterSearchChannelAdapter - Search uri:https://api.twitter.com/1.1/search/tweets.json?q=spring&since_id=587884752591544320 __________ Notice that tweet ID 587884752591544320 is picked up in second iteration as well although it was picked in the first. The issue can be fixed in the doSendLine method of TwitterSearchChannelAdapter.java where this.sinceId is being set to the last value of id. Instead the statuses map can be sorted on ID and the highest ID can be set for sinceId.;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts.  XUSP could not provide an answer as the amount of similarity between the given text Twittersearch stream returns duplicate tweets the twittersearch source module picks up the same tweet in successive iterations of the rest request the reason for this is that the since_id value being set at the end of each iteration is the last item in the list of tweets but not the latest value of tweet id steps to reproduce: created a stream using below definition stream create --name twittersearchspring --definition twittersearch --consumerkey=<key> --consumersecret=<secret> --query='spring' | tweet-transformer | file --deploy tweet-transformer referred here is used from the spring-xd-samples repo and is logging the tweet id being transformed https://githubcom/spring-projects/spring-xd-samples/tree/master/tweet-transformer-processor below is the log __________ 2015-04-14 15:47:22154 110release info deploymentsupervisor-0 serverstreamdeploymentlistener - deployment status for stream 'twittersearchspring': deploymentstatus{state=deployed} 2015-04-14 15:47:22158 110release info deploymentsupervisor-0 serverstreamdeploymentlistener - stream stream{name='twittersearchspring'} deployment attempt complete 2015-04-14 15:47:24301 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884756488032256 2015-04-14 15:47:24312 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884752591544320 2015-04-14 15:47:24315 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884752536911873 2015-04-14 15:47:24318 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884751219986432 2015-04-14 15:47:24320 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884750620258305 2015-04-14 15:47:24325 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884749974147072 2015-04-14 15:47:24340 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884743338917888 2015-04-14 15:47:24342 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884741493272577 2015-04-14 15:47:24343 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884739387719680 2015-04-14 15:47:24344 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884737307549696 2015-04-14 15:47:24346 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884734723702784 2015-04-14 15:47:24348 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884730059771905 2015-04-14 15:47:24356 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884729225125888 2015-04-14 15:47:24358 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884725802405888 2015-04-14 15:47:24359 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884724938481665 2015-04-14 15:47:26465 110release debug twittersource-1-1 twittertwittersearchchanneladapter - search uri:https://apitwittercom/11/search/tweetsjson?q=spring&since_id=587884724938481665 2015-04-14 15:47:26865 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884766608916481 2015-04-14 15:47:26867 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884766072025089 2015-04-14 15:47:26869 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884765707116544 2015-04-14 15:47:26871 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884764394299392 2015-04-14 15:47:26872 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884761366003712 2015-04-14 15:47:26878 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884759381966849 2015-04-14 15:47:26880 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884756488032256 2015-04-14 15:47:26882 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884752591544320 2015-04-14 15:47:26884 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884752536911873 2015-04-14 15:47:26886 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884751219986432 2015-04-14 15:47:26887 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884750620258305 2015-04-14 15:47:26889 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884749974147072 2015-04-14 15:47:26890 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884743338917888 2015-04-14 15:47:26900 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884741493272577 2015-04-14 15:47:26903 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884739387719680 2015-04-14 15:47:29004 110release debug twittersource-1-1 twittertwittersearchchanneladapter - search uri:https://apitwittercom/11/search/tweetsjson?q=spring&since_id=587884739387719680 2015-04-14 15:47:29369 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884782945611776 2015-04-14 15:47:29371 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884781305663488 2015-04-14 15:47:29374 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884779506311169 2015-04-14 15:47:29376 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884775895072768 2015-04-14 15:47:29377 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884771893739520 2015-04-14 15:47:29379 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884771717578753 2015-04-14 15:47:29384 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884769138081792 2015-04-14 15:47:29386 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884766608916481 2015-04-14 15:47:29388 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884766072025089 2015-04-14 15:47:29389 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884765707116544 2015-04-14 15:47:29390 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884764394299392 2015-04-14 15:47:29391 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884761366003712 2015-04-14 15:47:29395 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884759381966849 2015-04-14 15:47:29399 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884756488032256 2015-04-14 15:47:29401 110release info twittersource-1-1 transformertweettransformer - transforming tweet with id : 587884752591544320 2015-04-14 15:47:31502 110release debug twittersource-1-1 twittertwittersearchchanneladapter - search uri:https://apitwittercom/11/search/tweetsjson?q=spring&since_id=587884752591544320 __________ notice that tweet id 587884752591544320 is picked up in second iteration as well although it was picked in the first the issue can be fixed in the dosendline method of twittersearchchanneladapterjava where thissinceid is being set to the last value of id instead the statuses map can be sorted on id and the highest id can be set for sinceid and the most similar text Assess sinks close client cache os - mac deployment type - sha - required software - sample server description destroying 3 streams sink 4th fail error connection number clients 4 exceeded limit 3 allowed default evaluation license steps reproduce shell execute following 4 times stream create name stocks definition http deploy stream destroy stocks does not exceed the minimum threshold of 75%.;0.01;2.0;1.0;1.67;0;1;0;0
41;Add spring-xd-exec directory to Git repo Without the directory Spring XD cannot be imported into STS using its own Gradle support.;0;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text Add spring-xd-exec directory to git repo without the directory spring xd cannot be imported into sts using its own gradle support is a user story, and is worth 8 story points. This was predicted because it is most similar to the text User id like define security definitions configure entity rest api specific access policies and similar to the text Developer id like migrate current master branch ci builds instances manage reliably and similar to the text Developer id like fix offset management kafka source module efficiently perform fetch operation given offsets (and these texts are all user stories with a worth of 8 story points).;0.02;8.62;1.0;8.33;1;0;1;0
42;As a developer I'd like to remove Hadoop dependencies from root classpath so we don't have to incur the penalty of classloading unnecessary libraries at the startup time. The goal is to at least try and decouple for situations when HDFS is not used for module registry.;5;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text As a developer i'd like to remove hadoop dependencies from root classpath so we don't have to incur the penalty of classloading unnecessary libraries at the startup time the goal is to at least try and decouple for situations when hdfs is not used for module registry is a user story, and is worth 8 story points. This was predicted because it is most similar to the text User need ability configure docker containers link external services rabbit mongo etc includes pointers attributes environment variables and similar to the text Developer id like new dsl parser easily detect incorrect values ui example mail log log parsed separately ui does current parser endpoint barf second stream know first stream and similar to the text User id like r processor efficiently perform data computations statistical context streaming pipeline investigate right approach fits spring model r java libraries (and these texts are all user stories with a worth of 8 story points).;0.07;2.0;1.0;1.67;0;1;1;1
43;Container does not fail if sharing same ports on same machine with another container. * SHA baddfc24b08286a78392d5f565742c9bab5adfea * EC2 Environment ** Look at Zookeeper Ec2 Deployment Test Topology.png for a view of the topology h2. The test scenario # Can be duplicated with single server ZK ensemble # Start Container on a EC2 instance. Wait till it joins cluster # Start 2nd container on same EC2 instance. h2. Observed Behavior. # Container 1 starts normally # Container 2 reports that failed to bind to address. (shown in attached stack trace) ## But does not terminate ## Shown as valid container when executing runtime containers command. xd:>runtime containers Container Id Host IP Address PID Groups Custom Attributes 0c88a300-9469-4f21-a256-7733259b13c7 ip-10-70-11-185 10.70.11.185 2061 256c35b7-c9f4-43ba-81dd-e1bfff0fb7c1 ip-10-70-9-57 10.70.9.57 3604 31fedc48-2762-4c45-8075-1dce64af5391 ip-10-110-186-48 *10.110.186.48* 2396 GROUPA 524bb933-a8b5-4014-a0b5-06d4fa8b30c2 ip-10-2-209-174 10.2.209.174 2123 e993026e-e2ac-4d16-9890-0786149d7b75 ip-10-110-186-48 *10.110.186.48* 2524 GROUPA f9437b15-1ee2-4827-99d4-e7957f9abdf2 ip-10-70-9-153 10.70.9.153 2366 GROUP0;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts.  XUSP could not provide an answer as the amount of similarity between the given text Container does not fail if sharing same ports on same machine with another container * sha baddfc24b08286a78392d5f565742c9bab5adfea * ec2 environment ** look at zookeeper ec2 deployment test topologypng for a view of the topology h2 the test scenario # can be duplicated with single server zk ensemble # start container on a ec2 instance wait till it joins cluster # start 2nd container on same ec2 instance h2 observed behavior # container 1 starts normally # container 2 reports that failed to bind to address (shown in attached stack trace) ## but does not terminate ## shown as valid container when executing runtime containers command xd:>runtime containers container id host ip address pid groups custom attributes 0c88a300-9469-4f21-a256-7733259b13c7 ip-10-70-11-185 107011185 2061 256c35b7-c9f4-43ba-81dd-e1bfff0fb7c1 ip-10-70-9-57 1070957 3604 31fedc48-2762-4c45-8075-1dce64af5391 ip-10-110-186-48 *1011018648* 2396 groupa 524bb933-a8b5-4014-a0b5-06d4fa8b30c2 ip-10-2-209-174 102209174 2123 e993026e-e2ac-4d16-9890-0786149d7b75 ip-10-110-186-48 *1011018648* 2524 groupa f9437b15-1ee2-4827-99d4-e7957f9abdf2 ip-10-70-9-153 10709153 2366 group0 and the most similar text Throughput stream any processor one goal micro benchmark compare throughput difference two types streams 1 source sink 2 source processor sink test used source sink processor tests performed single node container direct binding turned streams 1 throughput stream create definition stream deploy properties system get following numbers throughput items elapsed time 2 throughput code available stream create definition stream deploy properties system throughput reduces less throughput items elapsed time shows 50 cpu time following thread daemon class object event list consumer consumer long boolean long boolean does not exceed the minimum threshold of 75%.;0.04;8.62;1.0;8.33;1;1;0;0
44;Create aggregator module that uses an embedded database stored in the local filesystem Similar to XD-1100. SI has the jdbc based message store. <int-jdbc:message-store id=messageStore data-source=dataSource table-prefix=MY_INT_/> The configuration of this aggregator would be configured so that it uses an embedded database hsqldb or H2 depending if there is any real perf benefit to one or the other and store the data on the local file system.;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Create aggregator module that uses an embedded database stored in the local filesystem similar to xd-1100 si has the jdbc based message store <int-jdbc:message-store id=messagestore data-source=datasource table-prefix=my_int_/> the configuration of this aggregator would be configured so that it uses an embedded database hsqldb or h2 depending if there is any real perf benefit to one or the other and store the data on the local file system was most similar to the text Ui unresponsive time chrome ui interface stream creation stops responding time starts working once browser history cookies etc cleaned drop stops working unable look edit module properties connecting different modules work either drag drop operations still work command line stream creation still works facing issues thanks and similar to the text Needs bounded task 11 channels run high volume environments might occur topic thread overwhelm system threads add local configuration limit thread pool used queue tasks threads available setting and similar to the text Assess sinks close client cache os - mac deployment type - sha - required software - sample server description destroying 3 streams sink 4th fail error connection number clients 4 exceeded limit 3 allowed default evaluation license steps reproduce shell execute following 4 times stream create name stocks definition http deploy stream destroy stocks (and these texts are not user stories).;0.03;2.0;1.0;1.67;0;1;1;1
45;As a developer I want to be able to connect to multiple external systems for the same binding type so that I can read data from a system and write it to another.;4;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text As a developer i want to be able to connect to multiple external systems for the same binding type so that i can read data from a system and write it to another is a user story, and is worth 8 story points. This was predicted because it is most similar to the text User id like define security definitions configure entity rest api specific access policies and similar to the text Developer id like migrate current master branch ci builds instances manage reliably and similar to the text Developer id like fix offset management kafka source module efficiently perform fetch operation given offsets (and these texts are all user stories with a worth of 8 story points).;0.02;8.48;1.0;8.33;1;1;1;1
46;UI - Launch a job with parameters Use a modal dialog to specify runtime parameters. There should be a little text are that gives hints as to the spring batch parameter key/value conventions e.g. for type. Might be a good idea to have a checkbox that lets you select to 'auto increment' job instance number. 4 columns key value type identifying and an 'add parameter' button that adds a new row. This would appear as a modal dialog box polling of the state of the deployments would be suspended while the job parameter modal dialog box is shown.;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Ui - launch a job with parameters use a modal dialog to specify runtime parameters there should be a little text are that gives hints as to the spring batch parameter key/value conventions eg for type might be a good idea to have a checkbox that lets you select to 'auto increment' job instance number 4 columns key value type identifying and an 'add parameter' button that adds a new row this would appear as a modal dialog box polling of the state of the deployments would be suspended while the job parameter modal dialog box is shown was most similar to the text Issue trying use http trying send json object get following error even though opened requests allow load header present requested resource origin therefore allowed access spring profiles transport local ui and similar to the text Add named channel api need abstraction place retrieve messages named channel right implementation agnostic way quite useful integration tests streams eg focussed tests resorting nonessential sinks sources etc - eg code router code and similar to the text Investigate fall values running yarn support using configuration modules atm current code was committed time improvements handling module configuration switch include bean definitions remove configuration classes see add support configuration another short term hack put prefix value used (and these texts are not user stories).;0.01;2.0;1.0;1.67;0;1;1;1
47;add create() and deploy() methods to JobDeployer see https://docs.google.com/a/gopivotal.com/drawings/d/1kCNbVspRBjGc10itF9cSkwST8WgCjgg3wGzFKqLCAzU/edit Create the deployer if it doesn't exist.;0;4;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text Add create() and deploy() methods to jobdeployer see https://docsgooglecom/a/gopivotalcom/drawings/d/1kcnbvsprbjgc10itf9cskwst8wgcjgg3wgzfkqlcazu/edit create the deployer if it doesn't exist is a user story, and is worth 5 story points. This was predicted because it is most similar to the text Data scientist id like option process data using processor take advantage streaming machine learning abstractions implemented top and similar to the text Qa id like include acceptance test coverage batch job validate functionality part every ci build and similar to the text Developer id like add support explicit partition count configuration use option cleverly route payload intended consumer module (and these texts are all user stories with a worth of 5 story points).;0.05;5.64;1.0;8.33;1;0;1;0
