issuekey;doc_clean;storypoint_label
XD-1059;Batch Job's step execution count is always '0' The batch job's step execution count is retrieved from org.springframework.batch.admin.web.JobExecutionInfo in batch job repository.    But the JobExecutionInfo always have the stepExecutionCount set to '0'.;0
XD-106;Container server does not log a message that it has started or stopped successfully $ ./xd-container  processing module 'Module [name=file type=sink]' from group 'tailtest' with index: 1 processing module 'Module [name=tail type=source]' from group 'tailtest' with index: 0   Logging of 'processing module' should have log level time..;0
XD-1060;Add support for Hortonworks Data Platform 2.0 (apologies if a ticket already exists for this but I didn't see one)    I spun up the Hortonworks Data Platform 2.0 sandbox but see it isn't supported by Spring XD yet.    How hard would it be to add these Distro's in?  Is it just a matter of dropping in a lib folder for hadoop22 and/or hdp20 and allowing those and options to be passed in via the --hadoopDistro option?    I'm currently trying to work through the following tutorial but using the HDP 2.0 sandbox instead of the 1.3 sandbox    http://hortonworks.com/hadoop-tutorial/using-spring-xd-to-stream-tweets-to-hadoop-for-sentiment-analysis/    Thanks!;0
XD-1062;User would like to see request/response details (headers URLs etc) in shell Add debug flag for logging globally maybe or else --trace per command?;0
XD-1063;Fix mqtt module properties Use of dot in property name prevents the user from specifying a value in stream definition  Also defaults are repeated at .xml and .properties level;0
XD-1064;"Update router sink logic to match new channel syntax for example the following should work:    {code}  xd:>stream create a1 --definition ""queue:a > transform --expression=payload+'-a' | log""  Created new stream 'a1'    xd:>stream create b1 --definition ""queue:b > transform --expression=payload+'-b' | log""  Created new stream 'b1'    xd:>stream create s1 --definition ""http | router --expression=payload.contains('a')?'queue:a':'queue:b'""  Created new stream 's1'    xd:>http post --data ""ha""  > POST (text/plainCharset=UTF-8) http://localhost:9000 ha  > 200 OK    // log shows: ""ha-a""    xd:>http post --data ""hi""  > POST (text/plainCharset=UTF-8) http://localhost:9000 hi  > 200 OK    // log shows: ""ha-b""  {code}    This needs to be tested against all transports (local redis and rabbit)";0
XD-107;Clean shutdown of redis in xd-admin A ctrl-c of xd-admin results in exception messages about disconnecting from redis.  14:16:07327 ERROR task-scheduler-1 handler.LoggingHandler:136 - org.springframework.data.redis.RedisSystemException: Redis command interrupted nested exception is com.lambdaworks.redis.RedisCommandInterruptedException: Command interrupted;0
XD-1070;"File to HDFS batch job fails due to ""/data"" directory not available in HDFS The batch job for File to HDFS will try to check for the default '/data/' directory even if the target directory in HDFS is something else.  If the /data directory isn't there the job will fail.    This should be fixed so there isn't a check on the directory that isn't the final HDFS target directory and the target directory should be created if it doesn't exist.";0
XD-1071;Close HDFS file when Batch job ends The File to HDFS batch job will not close the file being written to in HDFS when the job completes.  The ItemWriter for HDFS needs to incorporate functionality that is present in the standard FlatFileWriter perhaps inheriting from AbstractItemStreamItemWriter;0
XD-1074;Multiple SLF4J bindings on the classpath Summary says it all. When starting we now get {noformat} SLF4J: Class path contains multiple SLF4J bindings. SLF4J: Found binding in [jar:file:/Users/ebottard/.gradle/caches/artifacts-24/filestore/org.slf4j/slf4j-log4j12/1.7.5/jar/6edffc576ce104ec769d954618764f39f0f0f10d/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class] SLF4J: Found binding in [jar:file:/Users/ebottard/.gradle/caches/artifacts-24/filestore/org.slf4j/slf4j-log4j12/1.6.1/jar/bd245d6746cdd4e6203e976e21d597a46f115802/slf4j-log4j12-1.6.1.jar!/org/slf4j/impl/StaticLoggerBinder.class] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation. SLF4J: Actual binding is of type [org.slf4j.impl.Log4jLoggerFactory] {noformat}  Most certainly introduced by 1c4817ee60ae9325f6394dcc78aa803c47818546 or 72baec92f2e7bbe860b4a9dc6c994536c1670881;0
XD-1075;Restore XD Banner Migrating to boot dropped the XD banner and its info.  Can be restored using eg a boot Initializer and removing the default boot banner;0
XD-1078;"Add ""spring-xd-exec"" directory to Git repo Without the directory Spring XD cannot be imported into STS using its own Gradle support.";0
XD-108;Build script should not package 'spring-xd-dirt' scripts We are packaging separate scripts to start XDAdmin and XDContainer.  The Gradle application plugin will generate an unwanted 'spring-xd-dirt' scripts this should be removed from the bin directory when creating a distribution zip.;0
XD-1082;Create REST API for getting information on a job execution for a given execution id Adopted functionality from Spring Batch admin Should include springmvc test framework style tests  GET /batch/jobs/executions/{executionId} - Get information on all executions of a given job name.;0
XD-1086;Create REST API for stopping all job executions Adopted functionality from spring batch admin  Should include SpringMVC test framework style tests.    DELETE /batch/jobs/executions/ - stop all job executions;0
XD-1087;Create REST API for restarting a specific job instance Functionality adopted from spring-batch admin  Should include springmvc test framework style tests    POST /batch/jobs/{jobName}/{jobInstanceId}/executions - restart a specific job instance;0
XD-109;Documentation for starting Spring XD servers;0
XD-1090;Create shell command for restarting a specific job instance;0
XD-1091;Create shell command for getting information on the progress of a given step execution;0
XD-1093;Create shell command for getting information on a given step execution;0
XD-1101;"Create aggregator module that uses an embedded database stored in the local filesystem Similar to XD-1100.  SI has the jdbc based message store.    <int-jdbc:message-store id=""messageStore"" data-source=""dataSource""      table-prefix=""MY_INT_""/>    The configuration of this aggregator would be configured so that it uses an embedded database hsqldb or H2 depending if there is any real perf benefit to one or the other and store the data on the local file system.";0
XD-1102;Create microbenchmark for performace of redis and jdbc based aggregators would be good to have a general feel for the general performance of these two options.  Redis can run on the same node as the benchmark.;0
XD-1103;"JDBC sink is broken - looks like some config options got booted The JDBC sink is broken. Simple ""time | jdbc"" results in:    org.springframework.jdbc.BadSqlGrammarException: PreparedStatementCallback bad SQL grammar [insert into test (payload) values(?)] nested exception is java.sql.SQLSyntaxErrorException: user lacks privilege or object not found: TEST    Looks like some config options got clobbered during bootification.";0
XD-1104;Create Shell Integration test fixture for jdbc related sink Would be nice to have some kind of regression testing on the jdbc sink as it becomes more prominent in XD.    Use of an in memory db where we expose eg a JdbcTemplate to assert state;0
XD-1109;Provide cmdline options validation Wherever they come from (cmd line args or ENV_VARS) options such as transport analytics etc should be validated and issues should be reported to users;0
XD-111;Create final distribution zip across multiple projects The final directory structure should look like    <install-dir>/xd  <install-dir>/redis  <install-dir>/gemfire    inside the XD directory     /xd/bin - which has xd-container and xd-admin scripts  /xd/lib    inside the gemfire directory  /gemfire/bin - has the gemfire-server script  /gemfire/lib     inside the redis directory is     /redis/redis-latest-v.x.y.z.tar  /redis/README  /readis/install-redis  - script that does the basic 4 commands to install redis.      There should be a gradle task that runs after the distZip task that will take the contents of different project directories script diretories and 'redis-binary' directories and creates the final layout for the distribution.;0
XD-1111;"Clear Redis after tests The following keys remain after running the test suite:  {code} redis 127.0.0.1:6379> keys * 1) ""containers"" 2) ""containers.application:9292"" {code}";0
XD-1117;Add bash based scripts of simple module create to src/main/scripts;0
XD-1118;Add starting of newly build XD server running of smoketest bash script and killing of XD server to CI test;0
XD-1120;Standardize Date/Time/TimeZone handling We should we centrally standardize on date/time formats so that we don't create inconsistencies and follow ISO 8601 internally. Internally we should only work with UTC (or make that the default config option).    Ultimately whatever the user sees is just a formatting concern.;0
XD-1123;Add profile activation on top of XD-953;0
XD-1125;"Provide ModuleOptionsMetadata using simple approach Following merge of XD-953 provide module options using the ""simple"" approach where applicable";0
XD-1126;Switch CAPITAL_LETTERS to system.property style in application config;0
XD-1130;Update the EC2 deployer EC2 Deployer   Needs to change its configuration behavior to use environment variables vs. the property files  * Remove ConfigureSystem class since we will use environment variables instead  * Allow users to set environment variables via the xd-ec2 properties.  * If properties are not present use those that are available in the application.yml  * Utilize JClouds environment variable setup features to implement this behavior.;0
XD-1131;Basic support for Plugin contributed Module Options Metadata Pending a better approach and extension point (see XD-1050) provide a way to factor out common recurring options for modules:  * inputType  * outputType  * job parameters;0
XD-1136;Failure in writing to HDFS when undeploying and redeploying a stream with numbers in directory and/or file name;0
XD-1138;Review and Optimize the Serialized JSON Nodes for Batch Objects For several Batch Job related JSON endpoints we serialize too much information.;0
XD-1139;Add TaskLet to Stream from (S)FTP to HDFS;0
XD-114;Add install script for Redis This assumes the redis source tar is available under $rootDir/redis/redis-2.6.13.tar.gz    The install script does the following:    - Check the platform OS & arch  - unzip the tar compile the sources;0
XD-1140;Add (S)FTP Gateway and Batch Partitioner to List/Process Remote Files;0
XD-1142;Spike to model the cluster nodes. Each node in the cluster advertises itself and the admin node listens to these ads and creates groups out of them.  The deployment of jobs and stream processing can then be deployed onto a specific group and specific nodes within the group.  The project https://github.com/spring-projects/spring-data-grid is the start of this model.;0
XD-1145;Add --date option to the trigger module The TriggerSourceOptionsMetadata class should be able to use an actual Date object thanks to Spring binding conversion.  BUT the ${date} construct will receive a toString version of it. Make sure this works properly;0
XD-1148;Allow local data transport option for the container Currently local is not a supported data transport for the container. It should be an option. Note that local is not valid for control transport for a standalone container. So we need to revisit the current semantics that default the control transport to be the same as the data transport i.e. --transport=local should fail.;0
XD-115;add SpEL 'transform' processor It should provide an 'expression' param for SpEL and have a default pass-thru of the payload.;0
XD-1152;"Step execution progress Shell command to use coherent Id (jobExecutionId:stepExecutionId) Instead of using jobExecutionId and stepExecutionId as two separate options for the ""job execution step progress"" command we can have a single option with id mentioned as (jobExecutionId:stepExecutionId)";0
XD-1155;The lib directory for hadoop12 contains mix of hadoop versions This causes issues depending on which version of the core/common jar gets loaded first - like:    xd:>hadoop fs ls  -ls: Fatal internal error  java.lang.UnsupportedOperationException: Not implemented by the DistributedFileSystem FileSystem implementation    at org.apache.hadoop.fs.FileSystem.getScheme(FileSystem.java:213)    at org.apache.hadoop.fs.FileSystem.loadFileSystems(FileSystem.java:2401)    at org.apache.hadoop.fs.FileSystem.getFileSystemClass(FileSystem.java:2411)    at org.apache.hadoop.fs.FileSystem.createFileSystem(FileSystem.java:2428)    at org.apache.hadoop.fs.FileSystem.access$200(FileSystem.java:88)    at org.apache.hadoop.fs.FileSystem$Cache.getInternal(FileSystem.java:2467)    at org.apache.hadoop.fs.FileSystem$Cache.get(FileSystem.java:2449)    at org.apache.hadoop.fs.FileSystem.get(FileSystem.java:367)    at org.apache.hadoop.fs.FileSystem.get(FileSystem.java:166)    at org.apache.hadoop.fs.FileSystem.get(FileSystem.java:351)    at org.apache.hadoop.fs.Path.getFileSystem(Path.java:287)    at org.apache.hadoop.fs.shell.PathData.expandAsGlob(PathData.java:325)    at org.apache.hadoop.fs.shell.Command.expandArgument(Command.java:224)    at org.apache.hadoop.fs.shell.Command.expandArguments(Command.java:207)    at org.apache.hadoop.fs.shell.Command.processRawArguments(Command.java:190)    at org.apache.hadoop.fs.shell.Command.run(Command.java:154)    at org.apache.hadoop.fs.FsShell.run(FsShell.java:255)    at org.springframework.xd.shell.hadoop.FsShellCommands.run(FsShellCommands.java:412)    at org.springframework.xd.shell.hadoop.FsShellCommands.runCommand(FsShellCommands.java:407)    at org.springframework.xd.shell.hadoop.FsShellCommands.ls(FsShellCommands.java:110)    at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)    at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)    at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)    at java.lang.reflect.Method.invoke(Method.java:606)    at org.springframework.util.ReflectionUtils.invokeMethod(ReflectionUtils.java:191)    at org.springframework.shell.core.SimpleExecutionStrategy.invoke(SimpleExecutionStrategy.java:64)    at org.springframework.shell.core.SimpleExecutionStrategy.execute(SimpleExecutionStrategy.java:48)    at org.springframework.shell.core.AbstractShell.executeCommand(AbstractShell.java:127)    at org.springframework.shell.core.JLineShell.promptLoop(JLineShell.java:483)    at org.springframework.shell.core.JLineShell.run(JLineShell.java:157)    at java.lang.Thread.run(Thread.java:724);0
XD-1156;Refactor/Simplify JobPlugin Currently the JobPlugin extends AbstractPlugin and the AbstractPlugin has got lots of unused code (like it doesn't do anything with preProcessSharedContext()) in there.;0
XD-1158;Create integration test script for JMS & MQTT Create a script to sanity check JMS and MQTT;0
XD-116;add SpEL 'filter' processor It should provide an 'expression' param for SpEL and have a default value of true (accept everything).;0
XD-1160;Standardize naming and unit for options across modules We should standardize on the options between modules:  idleTimeout - timeout rolloverSize - rollover  Also need to standardize on unit used for timeout - should this be s or ms?;0
XD-1161;Re-deployment of hdfs sink reuses filename of first deployment Need to check for existing files with the same file counter;0
XD-1164;Update Spring Integration version to 4.0.M2;0
XD-1165;Enhancements to Gemfire CQ Source The Gemfire CQ source needs some enhancements:  * enable locator configuration * consider decoupling from JSON. Currently designed to work with gemfire-json-server to avoid dependence on specific domain objects on the client and server side. So produces json strings from PdxInstance(s) stored in the cache.;0
XD-1166;Create Gemfire Integration Test Scripts;0
XD-1167;Mail Source ModuleOptions (+ profiles);0
XD-1168;Tapping a stream with multiple labelled filters causes duplicate messages Test case is here:  https://github.com/spring-projects/spring-xd/blob/master/src/test/scripts/basic_stream_tests#L49  We would expect one message in the counter but get 3.;0
XD-1169;"Column name of JDBC sink module should not hard code to ""payload"". Current implementation of JDBC sink module insert data into ""payload"" column. But I can't just change the default column ""payload"" to something else using --columns option. Because JdbcMessagePayloadTransformer compare the columnName to ""payload"" and it hard coded.";0
XD-1173;"Duplicate messages on tap If I fiddle with the testTappingWithLabels method I can reproduce the same issue:    HttpSource source = newHttpSource()    FileSink sink = newFileSink().binary(true) FileSink tapsink1 = newFileSink().binary(true) stream().create(""myhttp"" ""%s | flibble: transform  --expression=payload.toUpperCase() | flibble2: transform  --expression=payload.toUpperCase() | %s"" source sink) stream().create(""mytap4"" ""tap:stream:myhttp.flibble > transform  --expression=payload.replaceAll('A''.') | %s"" tapsink1) source.ensureReady().postData(""Dracarys!"")    assertThat(sink eventually(hasContentsThat(equalTo(""DRACARYS!""))))    assertThat(tapsink1 eventually(hasContentsThat(equalTo(""DR.C.RYS!""))))      java.lang.AssertionError:  Expected: ""DR.C.RYS!"" trying at most 10 times        but: failed after 10*100=1000ms:  ""DR.C.RYS!DR.C.RYS!""";0
XD-1174;Update HDFS sink documentation to reflect new functionality introduced in XD-990 and XD-991;0
XD-1179;Nodes can not connect with Admin using Redis as transport This has happened more than once where a node fails for whatever reason and when it is restarted it does not receive requests from the admin server.  This could be file handle count based.  Since this is not Rabbit as a transport I'm not chasing this down yet.  But felt it needed to be recorded.;0
XD-1180;Enabling of JMX support is broken However this is triggered (depending on whether https://github.com/spring-projects/spring-xd/pull/477/files is merged yet or not) jmx seems to be broken because of duplicate beans / mbeans names;0
XD-1182;Update to spring-data-hadoop 2.0.0.M5 Update to spring-data-hadoop 2.0.0.M5 when it is released and remove the temporary DatasetTemplateAllowingNulls in spring-xd-hadoop  We should also review the supported hadoop distros - think we should support anything that is current/stable: - hadoop12 - hadoop22 - phd1 (PHD 1.1) - hdp13 - hdp20 - cdh4;0
XD-1183;topic in mqtt source was marked as topics Changed field back to topic;0
XD-1184;"Admin & Launcher startup fails when XD_JMX_ENABLED is set to true When exporting of MBeans are enabled via XD_JMX_ENABLED (also jmxEnabled as in application.yml) the Admin and Lancher server application fail to start.    Since the admin applications has the same 'integrationMbeanExporter' bean name for IntegrationMBeanExporter as that its ParentConfiguration there is a naming conflicts and the exception thrown as:    (Same is the case for launcher and its parent configuration)    Exception in thread ""main"" org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'mbeanExporter' defined in class org.springframework.context.annotation.MBeanExportConfiguration: Invocation of init method failed nested exception is org.springframework.jmx.export.UnableToRegisterMBeanException: Unable to register MBean [org.springframework.integration.monitor.IntegrationMBeanExporter@1de40d3e] with key 'integrationMBeanExporter' nested exception is javax.management.InstanceAlreadyExistsException: org.springframework.integration.monitor:name=integrationMBeanExportertype=IntegrationMBeanExporter    org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.initializeBean(AbstractAutowireCapableBeanFactory.java:1553)    org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:539)    org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:475)    org.springframework.beans.factory.support.AbstractBeanFactory$1.getObject(AbstractBeanFactory.java:304)    org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:228)    org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:300)    org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:195)    org.springframework.beans.factory.support.DefaultListableBeanFactory.preInstantiateSingletons(DefaultListableBeanFactory.java:700)    org.springframework.context.support.AbstractApplicationContext.finishBeanFactoryInitialization(AbstractApplicationContext.java:760)    org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:482)    org.springframework.boot.context.embedded.EmbeddedWebApplicationContext.refresh(EmbeddedWebApplicationContext.java:124)    org.springframework.boot.SpringApplication.refresh(SpringApplication.java:609)    org.springframework.boot.SpringApplication.run(SpringApplication.java:321)    org.springframework.boot.builder.SpringApplicationBuilder.run(SpringApplicationBuilder.java:130)    org.springframework.xd.dirt.server.AdminServerApplication.run(AdminServerApplication.java:60)    org.springframework.xd.dirt.server.AdminServerApplication.main(AdminServerApplication.java:42)  Caused by: org.springframework.jmx.export.UnableToRegisterMBeanException: Unable to register MBean [org.springframework.integration.monitor.IntegrationMBeanExporter@1de40d3e] with key 'integrationMBeanExporter' nested exception is javax.management.InstanceAlreadyExistsException: org.springframework.integration.monitor:name=integrationMBeanExportertype=IntegrationMBeanExporter    org.springframework.jmx.export.MBeanExporter.registerBeanNameOrInstance(MBeanExporter.java:610)    org.springframework.jmx.export.MBeanExporter.registerBeans(MBeanExporter.java:535)    org.springframework.jmx.export.MBeanExporter.afterPropertiesSet(MBeanExporter.java:417)    org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.invokeInitMethods(AbstractAutowireCapableBeanFactory.java:1612)    org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.initializeBean(AbstractAutowireCapableBeanFactory.java:1549)  	... 15 more  Caused by: javax.management.InstanceAlreadyExistsException: org.springframework.integration.monitor:name=integrationMBeanExportertype=IntegrationMBeanExporter    com.sun.jmx.mbeanserver.Repository.addMBean(Repository.java:437)    com.sun.jmx.interceptor.DefaultMBeanServerInterceptor.registerWithRepository(DefaultMBeanServerInterceptor.java:1898)    com.sun.jmx.interceptor.DefaultMBeanServerInterceptor.registerDynamicMBean(DefaultMBeanServerInterceptor.java:966)    com.sun.jmx.interceptor.DefaultMBeanServerInterceptor.registerObject(DefaultMBeanServerInterceptor.java:900)    com.sun.jmx.interceptor.DefaultMBeanServerInterceptor.registerMBean(DefaultMBeanServerInterceptor.java:324)    com.sun.jmx.mbeanserver.JmxMBeanServer.registerMBean(JmxMBeanServer.java:513)    org.springframework.jmx.support.MBeanRegistrationSupport.doRegister(MBeanRegistrationSupport.java:195)    org.springframework.jmx.export.MBeanExporter.registerBeanInstance(MBeanExporter.java:663)    org.springframework.jmx.export.MBeanExporter.registerBeanNameOrInstance(MBeanExporter.java:600)  	... 19 more";0
XD-1185;Add redisConnectionFactory with connection pool We need to add a connection pool to the Redis connection factory used for the transport otherwise we'll see exceptions like these:    12:57:54842 ERROR inbound.tictoc.0-redis:queue-inbound-channel-adapter1 inbound.RedisQueueMessageDrivenEndpoint:183 - Failed to execute listening task. Will attempt to resubmit in 5000 milliseconds.  org.springframework.data.redis.RedisSystemException: Redis exception nested exception is com.lambdaworks.redis.RedisException: Unable to connect    at org.springframework.data.redis.connection.lettuce.LettuceExceptionConverter.convert(LettuceExceptionConverter.java:46)    at org.springframework.data.redis.connection.lettuce.LettuceExceptionConverter.convert(LettuceExceptionConverter.java:36)    at org.springframework.data.redis.connection.lettuce.LettuceConverters.toDataAccessException(LettuceConverters.java:159)    at org.springframework.data.redis.connection.lettuce.LettuceConnection.convertLettuceAccessException(LettuceConnection.java:253)    at org.springframework.data.redis.connection.lettuce.LettuceConnection.bRPop(LettuceConnection.java:1508)    at org.springframework.data.redis.core.DefaultListOperations$12.inRedis(DefaultListOperations.java:163)    at org.springframework.data.redis.core.AbstractOperations$ValueDeserializingRedisCallback.doInRedis(AbstractOperations.java:51)    at org.springframework.data.redis.core.RedisTemplate.execute(RedisTemplate.java:185)    at org.springframework.data.redis.core.RedisTemplate.execute(RedisTemplate.java:153)    at org.springframework.data.redis.core.AbstractOperations.execute(AbstractOperations.java:86)    at org.springframework.data.redis.core.DefaultListOperations.rightPop(DefaultListOperations.java:160)    at org.springframework.data.redis.core.DefaultBoundListOperations.rightPop(DefaultBoundListOperations.java:105)    at org.springframework.integration.redis.inbound.RedisQueueMessageDrivenEndpoint.popMessageAndSend(RedisQueueMessageDrivenEndpoint.java:178)    at org.springframework.integration.redis.inbound.RedisQueueMessageDrivenEndpoint.access$300(RedisQueueMessageDrivenEndpoint.java:51)    at org.springframework.integration.redis.inbound.RedisQueueMessageDrivenEndpoint$ListenerTask.run(RedisQueueMessageDrivenEndpoint.java:291)    at java.lang.Thread.run(Thread.java:724)  Caused by: com.lambdaworks.redis.RedisException: Unable to connect    at com.lambdaworks.redis.RedisClient.connect(RedisClient.java:176)    at com.lambdaworks.redis.RedisClient.connectAsync(RedisClient.java:139)    at org.springframework.data.redis.connection.lettuce.LettuceConnection.getAsyncDedicatedConnection(LettuceConnection.java:2924)    at org.springframework.data.redis.connection.lettuce.LettuceConnection.getDedicatedConnection(LettuceConnection.java:2932)    at org.springframework.data.redis.connection.lettuce.LettuceConnection.bRPop(LettuceConnection.java:1506)    ... 11 more  Caused by: java.net.BindException: Cannot assign requested address    at sun.nio.ch.Net.connect0(Native Method)    at sun.nio.ch.Net.connect(Net.java:465)    at sun.nio.ch.Net.connect(Net.java:457)    at sun.nio.ch.SocketChannelImpl.connect(SocketChannelImpl.java:639)    at org.jboss.netty.channel.socket.nio.NioClientSocketPipelineSink.connect(NioClientSocketPipelineSink.java:108)    at org.jboss.netty.channel.socket.nio.NioClientSocketPipelineSink.eventSunk(NioClientSocketPipelineSink.java:70)    at org.jboss.netty.channel.Channels.connect(Channels.java:634)    at org.jboss.netty.channel.AbstractChannel.connect(AbstractChannel.java:207)    at com.lambdaworks.redis.RedisClient.connect(RedisClient.java:165)    ... 15 more;0
XD-1186;"Support use of application.yml fragments Since spring boot (by default) looks for property sources from file:./config/application.yml and file:./application.yml    In XD bundles the CLASSPATH of our XD startup scripts'(admin container singlenode startup scripts) set to use APP_HOME and APP_HOME/config.    But if we have an application.yml fragment on $APP_HOME/config then it is considered as classpath resource and the actual ""application.yml"" (from dirt lib/ classpath) is not loaded.     Also we need to separate out the properties files we have inside $APP_HOME/config as by default boot uses ""config"" directory as well.";0
XD-1187;xd-admin server to --transport as an option. --transport as an alias for --controlTransport;0
XD-119;HDFS sink should default to hdfs://localhost:8020 The current default is hdfs://localhost:9000 but most new distributions/installs use 8020;0
XD-1190;Setup precedence order for module properties' property resolver The PropertyResolver needs to follow the below precedence order on PropertySources when resolving the module properties:    From lowest to the highest order    0 application.yml  1 applicaiton.yml fragment  2 property placeholders  2a  property placeholder under 'shared' config directory   2b property placeholder under module/(source/sink/processor)/config directory  3. environment variables  4. system properties  5. command line;0
XD-1192;Add documentation for JDBC to HDFS batch job Add docs to section     https://github.com/spring-projects/spring-xd/wiki/Batch-Jobs#pre-packaged-batch-jobs;0
XD-1193;Update to Spring Batch 2.2.4;0
XD-1195;Add paging and sorting to Field Value Counter API see discussion at https://github.com/spring-projects/spring-xd/commit/2f0e80b5e337b71c9c70de510a44d2f050d10fa7;0
XD-1199;Fix filejdbc batch job filejdbc throws an exception:   {code}  java.lang.IllegalArgumentException: Could not resolve resource location pattern [/mycsvdir/*.csv]: class path resource [mycsvdir/] cannot be resolved to URL because it does not exist  {code}    This can be solved by using a file:// prefix    Maybe just update the docs?;0
XD-12;Jolokia based aggregator for cluster monitoring;0
XD-120;Find and eliminate package-level cycles across XD projects;0
XD-1200;"Fix hdfsjdbc batch job hdfsjdbc throws an exception:  {code}  org.springframework.beans.factory.BeanDefinitionStoreException: Invalid bean definition with name 'itemReader' defined in URL [file:/Users/trisberg/Projects/spring-xd/build/dist/spring-xd/xd/modules/job/hdfsjdbc/config/hdfsjdbc.xml]: Could not resolve placeholder 'columns' in string value ""${columns}""  {code}    The hdfsjdbc job uses 'columns' instead of 'names' as the parameter for the column-names. Should we make this usage consistent between jobs?    There is a comment in the docs - ""there is also a limitation in that the database table must be created manually. This is due to a bug in Spring Hadoop and will be fixed in the future."" Think this is this solved in Spring Hadoop now?    initializeDatabase should default to false now to be consistent with jdbc sink    Rename batch-jdbc/mongo-import.properties to batch-jdbc/mongo.properties since these aren't just for import";0
XD-1202;Update build script to use correct version of spring-data-hadoop based on distro;0
XD-1204;Update jdbchdfs properties and defaults to better match hdfs sink We should use fileName fileExtension properties and default to /xd/jobname as directory;0
XD-1207;Job Plugin - Notification Channel not correctly bound to MessageBus;0
XD-1210;Shell - 'makeUnique' Job Parameter is true by default Currently the shell assumes that the 'makeUnique'job parameter is by default *false*. That is not true. As a consequence the parameter has currently no impact/does not work.;0
XD-1211;"Update hadoop instructions in the xd-samples batchHashtagCount and batchWordCount  projects need ""hadoop fs ls"" instructions need to be updated.";0
XD-1216;Serialization of ChunkContext fails using Kryo;0
XD-1217;twittersearch and twitterstream should support compatible formats Currently twitterstream emits native twitter json whereas twittersearch uses SI/Spring Social and emits spring social Tweet types. This makes it difficult to replace twitter sources and reuse XD stream definitions.  This requires coordination with SS 1.1.0 and SI 4.0 GA releases. NOTE: I think it's a good idea to continue to support native twitter JSON keep as an option for twitterstream but the default should be Tweet types.;0
XD-1218;Base server implementation on Spring Boot Server startup is done using Spring  Boot as well as starting a module application context at runtime.;0
XD-1222;"Duplicate MBean server definition by MBeanExportingPlugin The MBeanServer is referred by XD admin/launcher when JMX is enabled (by setting --jmxEnabled option) and this is defined in xd-global-beans.xml.    The MBeans that are exposed by the modules also use the same MBeanServer define above and there is a duplicate MBeanServer definition (from jmx/common.xml) which the MBeanExportingPlugin adds as a component to the module which doesn't seem to be needed.    Also currently the flag ""jmxEnabled"" is generic and used by adminserver/launcher as well as the module MBeanExportingPlugin. If we have a separate flag to enable the JMX *only* for modules then a separate definition of MBeanServer could be necessary.";0
XD-1224;Add code coverage to gradle build Build should be able to generate code coverage reports.    After a quick tour of the intertubes it seems that JaCoCo is a well maintained project and has first class support inside gradle.    http://www.gradle.org/docs/current/userguide/jacoco_plugin.html;0
XD-1225;Integrate code coverage reports into the CI process Not sure if this is best done via Sonar our sonar build plan the nightly one or the frequent one off master...    Open question is if we want to fail a build do to code coverage levels.;0
XD-1226;Review abstract base classes used in test cases to ensure proper resource cleanup.;0
XD-1227;Investigate long running tests and create refactoring issues https://sonar.springsource.org/dashboard/index/7173?did=3    Shows which of our current tests take the most time to execute.    xd.dirt.stream and xd.shell.command are where the most time is spent.    In xd.dirt.stream it seems likely that time can be reduced by not restarting a new single node server per test but sharing it across tests e.g.     RabbitSingleNodeStreamDeploymentIntegrationTests 	   LocalSingleNodeStreamDeploymentIntegrationTests   RedisSingleNodeStreamDeploymentIntegrationTests 	    As a first pass the test that take longer than 15 seconds in that report should be investigated.;0
XD-1228;Provide a easy prescriptive means to perform unit and basic stream integration tests. AbstractSingleNodeStreamDeploymentIntegrationTests is the basis of 'state of the art' testing for a stream that allows you to get a reference to the input and output channel of the stream    http | filter | transform | file.    One can send messages to the channel after the http module but before filter and one can retrieve the messages that were sent to the channel after the transform module but before file.    The current implementation inside AbstractSingleNodeStreamDeploymentIntegrationTests can be improved in terms of ease of use for end-users.      The issue is to create as simple a way as possible for a user to test their processing modules/stream definitions without having to actually do a real integration test by sending data to the input module.    Either as a separate issue or as part of this one the documentation     https://github.com/spring-projects/spring-xd/wiki/Creating-a-Processor-Module    should be updated to explicitly show how to use this issue's test functionality.;0
